Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
GET,/project/<pid>/node/<nid>/dataverse/files/<path:path>/info/,views.crud.dataverse_get_file_info,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/hgrid/,views.hgrid.dataverse_hgrid_data_contents,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/hgrid/<path:path>/,views.hgrid.dataverse_hgrid_data_contents,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/hgrid/root/,views.hgrid.dataverse_root_folder_public,json_renderer,dataverse,,
PUT,/project/<pid>/node/<nid>/dataverse/release/,views.crud.dataverse_release_study,json_renderer,dataverse,,
POST,/project/<pid>/node/<nid>/dataverse/set/,views.config.set_dataverse_and_study,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/widget/,dataverse_widget,OsfWebRenderer,dataverse,,
GET,/project/<pid>/node/<nid>/dataverse/widget/contents/,dataverse_get_widget_contents,json_renderer,dataverse,,
GET,/project/<pid>/node/<nid>/dropbox/config/,views.config.dropbox_config_get,json_renderer,dropbox,,
PUT,/project/<pid>/node/<nid>/dropbox/config/,views.config.dropbox_config_put,json_renderer,dropbox,,
DELETE,/project/<pid>/node/<nid>/dropbox/config/,views.config.dropbox_deauthorize,json_renderer,dropbox,,
PUT,/project/<pid>/node/<nid>/dropbox/config/import-auth/,views.config.dropbox_import_user_auth,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/config/share/,views.config.dropbox_get_share_emails,json_renderer,dropbox,,
POST,/project/<pid>/node/<nid>/dropbox/files/,views.crud.dropbox_upload,json_renderer,dropbox,,
DELETE,/project/<pid>/node/<nid>/dropbox/files/<path:path>,views.crud.dropbox_delete_file,json_renderer,dropbox,,
POST,/project/<pid>/node/<nid>/dropbox/files/<path:path>,views.crud.dropbox_upload,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/files/<path:path>/render/,views.crud.dropbox_render_file,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/files/<path:path>/revisions/,views.crud.dropbox_get_revisions,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/hgrid/,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/hgrid/<path:path>,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/node/<nid>/dropbox/oauth/,views.auth.dropbox_oauth_start,json_renderer,dropbox,,
POST,/project/<pid>/node/<nid>/edit/,project_views.node.edit_node,json_renderer,website,,
POST,/project/<pid>/node/<nid>/expand/,project_views.node.expand,json_renderer,website,,
GET,/project/<pid>/node/<nid>/expanded/,project_views.node.is_expanded,json_renderer,website,,
